,Date,return,Y2,predicted,binary,ticker
105,2024-07-12,-0.0028751754997392003,0.0,0.3223053848595873,0,AMZN
106,2024-07-15,-0.009142411458262565,1.0,0.3426559091870873,0,AMZN
107,2024-07-16,0.0015554679731073517,0.0,0.31427225659075764,0,AMZN
108,2024-07-17,-0.026724318518412248,0.0,0.2995602456736724,0,AMZN
109,2024-07-18,-0.022493376002440963,0.0,0.34773323771458076,0,AMZN
110,2024-07-19,-0.0033798282769946274,0.0,0.08518630063426913,0,AMZN
111,2024-07-22,-0.003172184996925187,1.0,0.3633434738522902,0,AMZN
112,2024-07-23,0.02092444370758336,0.0,0.08147744936847648,0,AMZN
113,2024-07-24,-0.03039119500388669,0.0,0.08671977413008727,0,AMZN
114,2024-07-25,-0.005434169444389781,1.0,0.31920394879766584,0,AMZN
115,2024-07-26,0.014626968944213104,1.0,0.4515836414008021,0,AMZN
116,2024-07-29,0.0038282625594168156,0.0,0.22595530511558298,0,AMZN
97,2024-07-01,0.000911867359965498,1.0,0.3599011051221691,0,META
98,2024-07-02,0.00950530211583859,0.0,0.44481896769202894,0,META
99,2024-07-03,0.0009024218510787743,1.0,0.4098817758992452,0,META
100,2024-07-05,0.05707013474672191,0.0,0.3796962694224484,0,META
101,2024-07-08,-0.01980923151869782,0.0,0.39001486753401543,0,META
102,2024-07-09,0.0012838288042851943,1.0,0.4140858852387417,0,META
103,2024-07-10,0.00881013772372392,0.0,0.3881838130344372,0,META
104,2024-07-11,-0.041996241670930655,0.0,0.32282692483536657,0,META
105,2024-07-12,-0.0273453716187734,0.0,0.38302237233876013,0,META
106,2024-07-15,-0.005447068247144437,0.0,0.4274966813290096,0,META
107,2024-07-16,-0.012921717473831392,0.0,0.48165396812443884,0,META
108,2024-07-17,-0.058433520571548686,1.0,0.678021601191582,1,META
109,2024-07-18,0.029559466657243398,1.0,0.6292647262252783,1,META
110,2024-07-19,0.0019734689537039556,1.0,0.5397851299648357,1,META
111,2024-07-22,0.022008968369894858,1.0,0.6064125503571937,1,META
112,2024-07-23,0.0026432179426614587,0.0,0.5662283130634369,1,META
113,2024-07-24,-0.05774481558042673,0.0,0.732182936799736,1,META
114,2024-07-25,-0.017186729543653655,1.0,0.7929982458563185,1,META
115,2024-07-26,0.026744874713465858,0.0,0.875670238398736,1,META
116,2024-07-29,2.142826039673205e-05,0.0,0.8606698340265126,1,META
97,2024-07-01,-0.00855148061021331,1.0,0.4606654581786719,0,TSM
98,2024-07-02,0.019366723905145062,1.0,0.3929154239920513,0,TSM
99,2024-07-03,0.03791742927798991,1.0,0.31941110618015983,0,TSM
100,2024-07-05,0.008186031059875067,1.0,0.2793209474909391,0,TSM
101,2024-07-08,0.014246635196324391,0.0,0.40943723394375053,0,TSM
102,2024-07-09,-0.011370191514021643,1.0,0.3917010848135383,0,TSM
103,2024-07-10,0.03477730802243737,0.0,0.2565070978024489,0,TSM
104,2024-07-11,-0.03488572638593499,1.0,0.39763729961024996,0,TSM
105,2024-07-12,0.015329094337259885,0.0,0.3279907194162919,0,TSM
106,2024-07-15,-0.0114342434851609,1.0,0.4282030206993429,0,TSM
107,2024-07-16,0.004417353934915623,0.0,0.14799300627493728,0,TSM
108,2024-07-17,-0.08312922238564299,1.0,0.20932763608592958,0,TSM
109,2024-07-18,0.003905902796724973,0.0,0.12712798932038358,0,TSM
110,2024-07-19,-0.036137037468477344,1.0,0.15354086792096847,0,TSM
111,2024-07-22,0.021366304094415388,1.0,0.07911154578787477,0,TSM
112,2024-07-23,0.0027714803959061956,0.0,0.20232658394306144,0,TSM
113,2024-07-24,-0.06081604327099036,1.0,0.15354086792096847,0,TSM
114,2024-07-25,0.002999225722345179,1.0,0.24051929622293833,0,TSM
115,2024-07-26,0.010303633182083357,0.0,0.03998889478063042,0,TSM
116,2024-07-29,-0.011989632383307825,0.0,0.10966349249784638,0,TSM
97,2024-07-01,0.009880547736491071,0.0,0.5503030324207954,1,LLY
98,2024-07-02,-0.00841261037249288,0.0,0.5510268444921842,1,LLY
99,2024-07-03,-0.009541294338087902,1.0,0.5558265862019169,1,LLY
100,2024-07-05,0.018172623976999036,1.0,0.5566282036758747,1,LLY
101,2024-07-08,0.0037433731507125045,1.0,0.3834194172364672,0,LLY
102,2024-07-09,0.01567176089748016,1.0,0.30480310931301,0,LLY
103,2024-07-10,0.007776684974838895,0.0,0.23116151570320081,0,LLY
104,2024-07-11,-0.00601950088197018,1.0,0.39361797026662043,0,LLY
105,2024-07-12,0.015150044322779253,0.0,0.30513709876829415,0,LLY
106,2024-07-15,0.0021697211131131346,0.0,0.40065020518249006,0,LLY
107,2024-07-16,-0.009365571028939037,0.0,0.4544512871729795,0,LLY
108,2024-07-17,-0.03899383537745165,0.0,0.6268990629875566,1,LLY
109,2024-07-18,-0.06464527213677475,1.0,0.6239785577367354,1,LLY
110,2024-07-19,0.010044736335135966,1.0,0.5760797824507591,1,LLY
111,2024-07-22,0.009864073260068882,1.0,0.5678913854755386,1,LLY
112,2024-07-23,0.014126578110608821,0.0,0.5369284878377989,1,LLY
113,2024-07-24,-0.021183959902963997,0.0,0.6474939471436256,1,LLY
114,2024-07-25,-0.04603833956428145,0.0,0.6404932910216747,1,LLY
115,2024-07-26,-0.020384400532012147,1.0,0.630584381365922,1,LLY
116,2024-07-29,0.003931986339806929,0.0,0.5722695492748557,1,LLY
97,2024-07-01,0.05877983360300819,1.0,0.19546078214007662,0,TSLA
98,2024-07-02,0.09710195030947986,1.0,0.34304972346805895,0,TSLA
99,2024-07-03,0.06337304899541438,1.0,0.6788110478523883,1,TSLA
100,2024-07-05,0.02060688228437311,1.0,0.6788110478523883,1,TSLA
101,2024-07-08,0.005629789876539415,1.0,0.8683478173357262,1,TSLA
102,2024-07-09,0.0364508858978897,1.0,0.7060592237062705,1,TSLA
103,2024-07-10,0.0035389720904070512,0.0,0.8957900416689368,1,TSLA
104,2024-07-11,-0.08822077208547265,1.0,0.8880411488035607,1,TSLA
105,2024-07-12,0.029434316513726216,1.0,0.7497446035278812,1,TSLA
106,2024-07-15,0.017609829570940913,1.0,0.7060592237062705,1,TSLA
107,2024-07-16,0.015396997777534727,0.0,0.7441398349372156,1,TSLA
108,2024-07-17,-0.031919700332288976,1.0,0.8354117769605331,1,TSLA
109,2024-07-18,0.002933302220995548,0.0,0.8564959178473689,1,TSLA
110,2024-07-19,-0.04107613843938729,1.0,0.8872761385732497,1,TSLA
111,2024-07-22,0.05018271902171053,0.0,0.6999036269333733,1,TSLA
112,2024-07-23,-0.02060764898795659,0.0,0.8208167163884053,1,TSLA
113,2024-07-24,-0.13164294360339135,1.0,0.8872761385732497,1,TSLA
114,2024-07-25,0.01953112906763447,0.0,0.7108989820666254,1,TSLA
115,2024-07-26,-0.0020452089625195087,1.0,0.8950250314386259,1,TSLA
116,2024-07-29,0.054450283723543685,0.0,0.7052942134759598,1,TSLA
97,2024-07-01,0.02173005757092299,1.0,0.3495204034680721,0,AVGO
98,2024-07-02,0.01011444433284831,1.0,0.5298687669238255,1,AVGO
99,2024-07-03,0.0423720395758991,0.0,0.3230781230885782,0,AVGO
100,2024-07-05,-0.015097043287360777,1.0,0.48621079763852587,0,AVGO
101,2024-07-08,0.02467388297917074,0.0,0.26486708793731895,0,AVGO
102,2024-07-09,-0.007214423867499487,1.0,0.44973950738177293,0,AVGO
103,2024-07-10,0.006544017190221526,0.0,0.29036008364943805,0,AVGO
104,2024-07-11,-0.022454708386848984,0.0,0.2899125110420113,0,AVGO
105,2024-07-12,-0.003099848511163518,1.0,0.43770234833894806,0,AVGO
