Date,return,Y1,predicted_Y1,binary,pTradeRate,tTradeBool,
23/07/2024,-0.00755362,0.014629724,-0.010548523,0,0,0.014629724,0.014629724
24/07/2024,0.014629724,0.008592736,0.016815469,0,0.008592736,0.008592736,0
25/07/2024,0.008592736,0.006344612,0.008033508,0,0.006344612,0.006344612,0
26/07/2024,0.006344612,0.006407657,0.005754293,0,0.006407657,0.006407657,0
29/07/2024,0.006407657,0.01096266,0.005754293,0,0.01096266,0.01096266,0
1/07/2024,-0.004619398,-0.000772044,-0.00231986,0,0,0,0
2/07/2024,-0.000772044,-0.004482743,0.000962231,0,-0.004482743,0,0.004482743
3/07/2024,-0.004482743,0.004836691,-0.00231986,0,0,0.004836691,0.004836691
5/07/2024,0.004836691,0.00186389,0.005868059,0,0.00186389,0.00186389,0
8/07/2024,0.00186389,0.014186483,0.003669814,0,0.014186483,0.014186483,0
9/07/2024,0.014186483,0.018068843,0.024196597,0,0.018068843,0.018068843,0
10/07/2024,0.018068843,0.010575839,0.024196597,0,0.010575839,0.010575839,0
11/07/2024,0.010575839,0.017502552,0.014594953,0,0.017502552,0.017502552,0
12/07/2024,0.017502552,-0.00205753,0.024334784,0,-0.00205753,0,0.00205753
15/07/2024,-0.00205753,0.009015788,-0.000499973,0,0,0.009015788,0.009015788
16/07/2024,0.009015788,0.007565708,0.009831949,0,0.007565708,0.007565708,0
17/07/2024,0.007565708,-0.014100834,0.008550138,0,-0.014100834,0,0.014100834
18/07/2024,-0.014100834,0.00096641,-0.013565634,0,0,0.00096641,0.00096641
19/07/2024,0.00096641,0.014027723,0.002619004,0,0.014027723,0.014027723,0
22/07/2024,0.014027723,-0.008158952,0.024334784,0,-0.008158952,0,0.008158952
23/07/2024,-0.008158952,0.007086806,-0.005286437,0,0,0.007086806,0.007086806
24/07/2024,0.007086806,-0.003910971,0.008506179,0,-0.003910971,0,0.003910971
25/07/2024,-0.003910971,0.001643932,-0.001571546,0,0,0.001643932,0.001643932
26/07/2024,0.001643932,-0.007012724,0.003489693,0,-0.007012724,0,0.007012724
29/07/2024,-0.007012724,0.00231301,-0.004167179,0,0,0.00231301,0.00231301
1/07/2024,-0.013585256,0.013497681,-0.017946565,0,0,0.013497681,0.013497681
2/07/2024,0.013497681,0.007768549,0.015884482,0,0.007768549,0.007768549,0
3/07/2024,0.007768549,0.003775124,0.008208193,0,0.003775124,0.003775124,0
5/07/2024,0.003775124,0.010555198,0.003918782,0,0.010555198,0.010555198,0
8/07/2024,0.010555198,-0.005716151,0.010886379,0,-0.005716151,0,0.005716151
9/07/2024,-0.005716151,0.026875825,-0.004745359,0,0,0.026875825,0.026875825
10/07/2024,0.026875825,-0.019446866,0.028429706,0,-0.019446866,0,0.019446866
11/07/2024,-0.019446866,0.020411431,-0.018615024,0,0,0.020411431,0.020411431
12/07/2024,0.020411431,-0.003527325,0.023206957,0,-0.003527325,0,0.003527325
15/07/2024,-0.003527325,0.023325039,-0.002840871,0,0,0.023325039,0.023325039
16/07/2024,0.023325039,-0.032240656,0.023086631,0,-0.032240656,0,0.032240656
17/07/2024,-0.032240656,0.014243835,-0.017976578,0,0,0.014243835,0.014243835
18/07/2024,0.014243835,-0.03305209,0.019834973,0,-0.03305209,0,0.03305209
19/07/2024,-0.03305209,0.037435905,-0.018160318,0,0,0.037435905,0.037435905
22/07/2024,0.037435905,-0.04133587,0.023095666,0,-0.04133587,0,0.04133587
23/07/2024,-0.04133587,-0.025059614,-0.018441863,0,0,0,0
24/07/2024,-0.025059614,-0.016609427,-0.017162592,0,0,0,0
25/07/2024,-0.016609427,0.024635177,-0.017976578,0,0,0.024635177,0.024635177
26/07/2024,0.024635177,0.00427474,0.027464905,0,0.00427474,0.00427474,0
29/07/2024,0.00427474,-0.012478555,0.004983086,0,-0.012478555,0,0.012478555
1/07/2024,-0.001058091,0.0183265,-0.001530027,0,0,0.0183265,0.0183265
2/07/2024,0.0183265,-0.000458662,0.014202339,0,-0.000458662,0,0.000458662
3/07/2024,-0.000458662,0.013066086,-0.002346779,0,0,0.013066086,0.013066086
5/07/2024,0.013066086,-0.010957888,0.013861939,0,-0.010957888,0,0.010957888
8/07/2024,-0.010957888,-0.000885536,-0.017574883,0,0,0,0
9/07/2024,-0.000885536,0.011088422,-0.002346779,0,0,0.011088422,0.011088422
10/07/2024,0.011088422,-0.011332891,0.014011746,0,-0.011332891,0,0.011332891
11/07/2024,-0.011332891,0.006365848,-0.019169439,0,0,0.006365848,0.006365848
12/07/2024,0.006365848,-0.005785449,0.006145187,0,-0.005785449,0,0.005785449
15/07/2024,-0.005785449,0.00884734,-0.005568121,0,0,0.00884734,0.00884734
16/07/2024,0.00884734,-0.031173702,0.015576881,0,-0.031173702,0,0.031173702
17/07/2024,-0.031173702,-0.014342115,-0.017880781,0,0,0,0
18/07/2024,-0.014342115,-0.003586125,-0.01821477,0,0,0,0
19/07/2024,-0.003586125,0.012950704,-0.004397075,0,0,0.012950704,0.012950704
22/07/2024,0.012950704,0.004508938,0.014805816,0,0.004508938,0.004508938,0
23/07/2024,0.004508938,-0.030226043,0.003301937,0,-0.030226043,0,0.030226043
24/07/2024,-0.030226043,0.000450759,-0.018977456,0,0,0.000450759,0.000450759
25/07/2024,0.000450759,0.005040567,0.000627246,0,0.005040567,0.005040567,0
26/07/2024,0.005040567,-0.008425826,0.003301937,0,-0.008425826,0,0.008425826
29/07/2024,-0.008425826,-0.016903469,-0.008001428,0,0,0,0
1/07/2024,0.028689077,0.01610947,0.01879867,0,0.01610947,0.01610947,0
2/07/2024,0.01610947,0.005794225,0.017768205,0,0.005794225,0.005794225,0
3/07/2024,0.005794225,0.021389966,0.004966712,0,0.021389966,0.021389966,0
5/07/2024,0.021389966,0.006517598,0.01879867,0,0.006517598,0.006517598,0
8/07/2024,0.006517598,0.003767739,0.006569668,0,0.003767739,0.003767739,0
9/07/2024,0.003767739,0.01862898,0.002840358,0,0.01862898,0.01862898,0
10/07/2024,0.01862898,-0.023494679,0.018975122,0,-0.023494679,0,0.023494679
11/07/2024,-0.023494679,0.012966438,-0.015076408,0,0,0.012966438,0.012966438
12/07/2024,0.012966438,0.016604678,0.016646081,0,0.016604678,0.016604678,0
15/07/2024,0.016604678,0.001790263,0.01879867,0,0.001790263,0.001790263,0
16/07/2024,0.001790263,-0.025621424,0.001809896,0,-0.025621424,0,0.025621424
17/07/2024,-0.025621424,-0.020748602,-0.015018945,0,0,0,0
18/07/2024,-0.020748602,0.000579745,-0.014933313,0,0,0.000579745,0.000579745
19/07/2024,0.000579745,-0.001561518,0.0003156,0,-0.001561518,0,0.001561518
22/07/2024,-0.001561518,0.004677327,-0.001809523,0,0,0.004677327,0.004677327
23/07/2024,0.004677327,-0.029175788,0.004666204,0,-0.029175788,0,0.029175788
24/07/2024,-0.029175788,-0.004816136,-0.01504091,0,0,0,0
25/07/2024,-0.004816136,0.002158693,-0.004543062,0,0,0.002158693,0.002158693
26/07/2024,0.002158693,0.001283809,0.002117403,0,0.001283809,0.001283809,0
29/07/2024,0.001283809,0.002562685,0.000177912,0,0.002562685,0.002562685,0
1/07/2024,0.005999165,0.014427235,0.005980629,0,0.014427235,0.014427235,0
2/07/2024,0.014427235,0.010120486,0.012815302,0,0.010120486,0.010120486,0
3/07/2024,0.010120486,-0.00296358,0.009658675,0,-0.00296358,0,0.00296358
5/07/2024,-0.00296358,0.015136916,-0.002749051,0,0,0.015136916,0.015136916
8/07/2024,0.015136916,0.020814027,0.012815302,0,0.020814027,0.020814027,0
9/07/2024,0.020814027,0.013822193,0.030331511,0,0.013822193,0.013822193,0
10/07/2024,0.013822193,-0.055270729,0.013163166,0,-0.055270729,0,0.055270729
11/07/2024,-0.055270729,0.008830988,-0.021975674,0,0,0.008830988,0.008830988
12/07/2024,0.008830988,0.008794449,0.007808672,0,0.008794449,0.008794449,0
15/07/2024,0.008794449,0.001180298,0.008069045,0,0.001180298,0.001180298,0
16/07/2024,0.001180298,-0.110735192,0.000931471,0,-0.110735192,0,0.110735192
17/07/2024,-0.110735192,-0.011057471,-0.023908858,0,0,0,0
18/07/2024,-0.011057471,-0.034543406,-0.012300325,0,0,0,0
19/07/2024,-0.034543406,0.060932348,-0.026167334,0,0,0.060932348,0.060932348
22/07/2024,0.060932348,-0.01724184,0.038230509,0,-0.01724184,0,0.01724184
23/07/2024,-0.01724184,-0.061589668,-0.022330741,0,0,0,0
24/07/2024,-0.061589668,-0.020595036,-0.023979798,0,0,0,0
25/07/2024,-0.020595036,0.020304491,-0.024173986,0,0,0.020304491,0.020304491
26/07/2024,0.020304491,-0.004368485,0.030869762,0,-0.004368485,0,0.004368485
29/07/2024,-0.004368485,-0.043903556,-0.004240416,0,0,0,0
1/07/2024,-0.029712177,0.028733894,-0.039733512,0,0,0.028733894,0.028733894
2/07/2024,0.028733894,0.028823211,0.027826958,0,0.028823211,0.028823211,0
3/07/2024,0.028823211,0.074154654,0.027719788,0,0.074154654,0.074154654,0
5/07/2024,0.074154654,0.019186653,0.080732645,0,0.019186653,0.019186653,0
8/07/2024,0.019186653,-0.013188911,0.019600999,0,-0.013188911,0,0.013188911
9/07/2024,-0.013188911,0.022672815,-0.011494398,0,0,0.022672815,0.022672815
10/07/2024,0.022672815,-0.073827503,0.024086461,0,-0.073827503,0,0.073827503
11/07/2024,-0.073827503,0.0451017,-0.050499206,0,0,0.0451017,0.0451017
12/07/2024,0.0451017,-0.02035137,0.070100216,0,-0.02035137,0,0.02035137
15/07/2024,-0.02035137,0.006960485,-0.010664102,0,0,0.006960485,0.006960485
16/07/2024,0.006960485,-0.10035734,0.011559114,0,-0.10035734,0,0.10035734
17/07/2024,-0.10035734,-0.021061274,-0.060679009,0,0,0,0
18/07/2024,-0.021061274,0.031519671,-0.026801807,0,0,0.031519671,0.031519671
19/07/2024,0.031519671,0.000917628,0.032087652,0,0.000917628,0.000917628,0
22/07/2024,0.000917628,0.048629977,0.004528261,0,0.048629977,0.048629977,0
23/07/2024,0.048629977,-0.085181134,0.069719269,0,-0.085181134,0,0.085181134
24/07/2024,-0.085181134,-0.055682158,-0.043245223,0,0,0,0
25/07/2024,-0.055682158,-0.000939152,-0.060679009,0,0,0,0
26/07/2024,-0.000939152,-0.05207069,0.00297915,0,-0.05207069,0,0.05207069
29/07/2024,-0.05207069,-0.061827235,-0.043245223,0,0,0,0
1/07/2024,0.010465914,0.013837237,0.010362335,0,0.013837237,0.013837237,0
2/07/2024,0.013837237,0.022196976,0.013211359,0,0.022196976,0.022196976,0
3/07/2024,0.022196976,0.00286118,0.03017021,0,0.00286118,0.00286118,0
5/07/2024,0.00286118,0.002704668,0.00232767,0,0.002704668,0.002704668,0
8/07/2024,0.002704668,-0.016300876,0.002779606,0,-0.016300876,0,0.016300876
9/07/2024,-0.016300876,0.036114507,-0.0255067,0,0,0.036114507,0.036114507
10/07/2024,0.036114507,-0.033730426,0.029726107,0,-0.033730426,0,0.033730426
11/07/2024,-0.033730426,0.021194956,-0.028017723,0,0,0.021194956,0.021194956
12/07/2024,0.021194956,-0.020131974,0.020441808,0,-0.020131974,0,0.020131974
15/07/2024,-0.020131974,0.004277991,-0.028459355,0,0,0.004277991,0.004277991
16/07/2024,0.004277991,-0.136323711,0.001645086,0,-0.136323711,0,0.136323711
17/07/2024,-0.136323711,-0.008522744,-0.031870859,0,0,0,0
18/07/2024,-0.008522744,-0.03163739,-0.011881578,0,0,0,0
19/07/2024,-0.03163739,0.049982345,-0.028227113,0,0,0.049982345,0.049982345
22/07/2024,0.049982345,-0.009017883,0.032372385,0,-0.009017883,0,0.009017883
23/07/2024,-0.009017883,-0.066552378,-0.011435338,0,0,0,0
24/07/2024,-0.066552378,-0.011663253,-0.031453071,0,0,0,0
25/07/2024,-0.011663253,0.029424953,-0.011354773,0,0,0.029424953,0.029424953
