,Date,return,Y1,predicted,binary,ticker,top,strat
85,2/07/2024,0.01409894,-0.012123208,0.021371705,0,AMZN,0,0.01409894
86,3/07/2024,-0.012123208,0.012123208,-0.014534923,0,AMZN,0,0
87,5/07/2024,0.012123208,-0.00355635,0.000919593,0,AMZN,0,0
88,8/07/2024,-0.00355635,0.000250875,-0.012266434,0,AMZN,0,0
89,9/07/2024,0.000250875,0.00225489,-0.002812869,0,AMZN,0,0
90,10/07/2024,0.00225489,-0.02401083,0.003791897,0,AMZN,0,0
91,11/07/2024,-0.02401083,-0.002875175,-0.023404653,0,AMZN,0,0
92,12/07/2024,-0.002875175,-0.009142411,-0.008408905,0,AMZN,0,0
93,15/07/2024,-0.009142411,0.001555468,-0.006633847,0,AMZN,0,0
94,16/07/2024,0.001555468,-0.026724319,0.00032317,0,AMZN,1,0
95,17/07/2024,-0.026724319,-0.022493376,-0.024036096,0,AMZN,0,-0.026724319
96,18/07/2024,-0.022493376,-0.003379828,-0.017661318,0,AMZN,0,0
97,19/07/2024,-0.003379828,-0.003172185,-0.004519881,0,AMZN,0,0
98,22/07/2024,-0.003172185,0.020924444,0.00904107,0,AMZN,0,0
99,23/07/2024,0.020924444,-0.030391195,0.029634281,0,AMZN,0,0
100,24/07/2024,-0.030391195,-0.005434169,-0.015267661,0,AMZN,0,0
101,25/07/2024,-0.005434169,0.014626969,6.12E-05,0,AMZN,1,0
102,26/07/2024,0.014626969,0.003828263,0.02061416,0,AMZN,0,0.014626969
103,29/07/2024,0.003828263,-0.008166389,0.020760164,0,AMZN,1,0
104,30/07/2024,-0.008166389,0.02858959,0.002763193,0,AMZN,1,-0.008166389
106,2/07/2024,0.009505302,0.000902422,0.010174537,0,META,0,0
107,3/07/2024,0.000902422,0.057070135,0.004360358,0,META,0,0
108,5/07/2024,0.057070135,-0.019809232,0.079453322,0,META,1,0
109,8/07/2024,-0.019809232,0.001283829,-0.012791105,0,META,0,-0.019809232
110,9/07/2024,0.001283829,0.008810138,-0.019839854,0,META,0,0
111,10/07/2024,0.008810138,-0.041996242,-0.001604278,0,META,0,0
112,11/07/2024,-0.041996242,-0.027345372,-0.056121699,0,META,0,0
113,12/07/2024,-0.027345372,-0.005447068,-0.040787997,0,META,0,0
114,15/07/2024,-0.005447068,-0.012921717,0.006212421,0,META,1,0
115,16/07/2024,-0.012921717,-0.058433521,-0.007403682,0,META,0,-0.012921717
116,17/07/2024,-0.058433521,0.029559467,-0.056618658,0,META,0,0
117,18/07/2024,0.029559467,0.001973469,0.043807923,0,META,1,0
118,19/07/2024,0.001973469,0.022008968,0.03002069,0,META,1,0.001973469
119,22/07/2024,0.022008968,0.002643218,0.049102261,0,META,1,0.022008968
120,23/07/2024,0.002643218,-0.057744816,0.028117647,0,META,0,0.002643218
121,24/07/2024,-0.057744816,-0.01718673,-0.025172736,0,META,0,0
122,25/07/2024,-0.01718673,0.026744875,0.017138011,0,META,1,0
123,26/07/2024,0.026744875,2.14E-05,0.057706112,0,META,1,0.026744875
124,29/07/2024,2.14E-05,-0.005425762,0.043165741,0,META,1,2.14E-05
125,30/07/2024,-0.005425762,0.024819475,0.028321341,0,META,1,-0.005425762
127,2/07/2024,0.019366724,0.037917429,0.054061881,0,TSM,1,0
128,3/07/2024,0.037917429,0.008186031,0.087681021,0,TSM,1,0.037917429
129,5/07/2024,0.008186031,0.014246635,0.050330953,0,TSM,1,0.008186031
130,8/07/2024,0.014246635,-0.011370192,0.035666066,0,TSM,1,0.014246635
131,9/07/2024,-0.011370192,0.034777308,0.011137398,0,TSM,1,-0.011370192
132,10/07/2024,0.034777308,-0.034885726,0.069846616,0,TSM,1,0.034777308
133,11/07/2024,-0.034885726,0.015329094,-0.023006808,0,TSM,0,-0.034885726
134,12/07/2024,0.015329094,-0.011434243,0.034081361,0,TSM,1,0
135,15/07/2024,-0.011434243,0.004417354,0.018019237,0,TSM,1,-0.011434243
136,16/07/2024,0.004417354,-0.083129222,0.024200315,0,TSM,1,0.004417354
137,17/07/2024,-0.083129222,0.003905903,-0.070425226,0,TSM,0,-0.083129222
