,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
24,2024-07-05,0.0146286982657441,-0.0028271754566299,0.0143772393625152,0,MSFT,-0.0028271754566299,0.0,0,0.0
25,2024-07-08,-0.0028271754566299,-0.0144744943172817,-0.0023718969962012,0,MSFT,0.0,0.0,0,-0.0
26,2024-07-09,-0.0144744943172817,0.0144959632139566,-0.0145517707006126,0,MSFT,0.0,0.0144959632139566,0,-0.0
27,2024-07-10,0.0144959632139566,-0.0250840832807196,0.014320681752008,0,MSFT,-0.0250840832807196,0.0,1,0.0
28,2024-07-11,-0.0250840832807196,-0.002532397530764,-0.0178352706294203,0,MSFT,0.0,0.0,0,-0.0250840832807196
29,2024-07-12,-0.002532397530764,0.0009035794633242,-0.0049754584393282,0,MSFT,0.0,0.0009035794633242,0,-0.0
30,2024-07-15,0.0009035794633242,-0.0098287472460552,-7.701562260760319e-05,0,MSFT,0.0,0.0,0,0.0
31,2024-07-16,-0.0098287472460552,-0.0134374505730884,-0.0158493033741987,0,MSFT,0.0,0.0,0,-0.0
32,2024-07-17,-0.0134374505730884,-0.0071276002414475,-0.0164725904275506,0,MSFT,0.0,0.0,0,-0.0
33,2024-07-18,-0.0071276002414475,-0.0074304253937808,-0.0153923100108932,0,MSFT,0.0,0.0,0,-0.0
34,2024-07-19,-0.0074304253937808,0.0132494800480273,-0.0158912637111257,0,MSFT,0.0,0.0132494800480273,0,-0.0
35,2024-07-22,0.0132494800480273,0.0043028342076456,0.0123251551694085,0,MSFT,0.0043028342076456,0.0043028342076456,0,0.0
36,2024-07-23,0.0043028342076456,-0.0365133831189581,0.003701822495781,0,MSFT,-0.0365133831189581,0.0,1,0.0
37,2024-07-24,-0.0365133831189581,-0.0247858791292477,-0.0181315938338503,0,MSFT,0.0,0.0,0,-0.0365133831189581
38,2024-07-25,-0.0247858791292477,0.0162863373314504,-0.0183976372929991,0,MSFT,0.0,0.0162863373314504,0,-0.0
39,2024-07-26,0.0162863373314504,0.003427284980771,0.0127105349930463,0,MSFT,0.003427284980771,0.003427284980771,1,0.0
40,2024-07-29,0.003427284980771,-0.0089684528607992,0.0015101474236074,0,MSFT,-0.0089684528607992,0.0,1,0.003427284980771
41,2024-07-30,-0.0089684528607992,-0.0108646502832794,-0.0163486641892917,0,MSFT,0.0,0.0,0,-0.0089684528607992
43,2024-07-02,-0.0132002149502262,0.0447175571910371,-0.0117481119180609,0,NVDA,0.0,0.0447175571910371,0,-0.0
44,2024-07-03,0.0447175571910371,-0.0192835611533372,0.0412923218268245,0,NVDA,-0.0192835611533372,0.0,1,0.0
45,2024-07-05,-0.0192835611533372,0.0186597165262163,-0.0225854644525461,0,NVDA,0.0,0.0186597165262163,0,-0.0192835611533372
46,2024-07-08,0.0186597165262163,0.0245024039479891,0.0205702939202375,0,NVDA,0.0245024039479891,0.0245024039479891,1,0.0
47,2024-07-09,0.0245024039479891,0.0265139919656624,0.032149114499499,0,NVDA,0.0265139919656624,0.0265139919656624,1,0.0245024039479891
48,2024-07-10,0.0265139919656624,-0.0572761614804235,0.0328566407905509,0,NVDA,-0.0572761614804235,0.0,1,0.0265139919656624
49,2024-07-11,-0.0572761614804235,0.0143394283447528,-0.0251087887790575,0,NVDA,0.0,0.0143394283447528,0,-0.0572761614804235
50,2024-07-12,0.0143394283447528,-0.0062092952304284,0.0095403141477899,0,NVDA,-0.0062092952304284,0.0,1,0.0
51,2024-07-15,-0.0062092952304284,-0.0163269074653151,-0.0044635024412006,0,NVDA,0.0,0.0,0,-0.0062092952304284
52,2024-07-16,-0.0163269074653151,-0.0685351237574985,-0.0211614192733085,0,NVDA,0.0,0.0,0,-0.0
53,2024-07-17,-0.0685351237574985,0.0259341835167572,-0.0294521074823891,0,NVDA,0.0,0.0259341835167572,0,-0.0
54,2024-07-18,0.0259341835167572,-0.0264428098337532,0.0258369677247055,0,NVDA,-0.0264428098337532,0.0,1,0.0
55,2024-07-19,-0.0264428098337532,0.0464737669888805,-0.0264091882591463,0,NVDA,0.0,0.0464737669888805,0,-0.0264428098337532
56,2024-07-22,0.0464737669888805,-0.0077195734444502,0.0417689979230889,0,NVDA,-0.0077195734444502,0.0,1,0.0
